ID,Especie,Publicacao_selecionada,Localidade,Estado,Pais,Latitude_GMS,Longitude_GMS,Latitude,Longitude,UC
11,Carollia perispicillata,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
12,Desmodus rotundus,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
13,Glossophaga soricina,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
14,Lophostoma brasiliense,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
15,Phyllostomus discolour,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
16,Artibeus planirrostris,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
17,Artibeus lituratus,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
18,Artibeus obscurus,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
19,Dermanura cinerea,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
20,Plathirrynus lineatus,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
21,Sturnira lilium,"Rego, K.M. & Zeppelini, C.G. et al. 2015 - J Ethnobiology Ethnomedicine",Guaribas Biological Reserve,Paraiba,Brazil,"6° 43' 17"" S","35° 10' 49"" O",-6.7214,-35.1803,"Sim, a Reserva Biologica de Guaribas"
22,Leopardus pardalis,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
23,Eira barbara,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
24,Galictis vittata,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
25,Sylvilagus brasiliensis,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
26,Callicebus cupreus,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
27,Saguinus sp.,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
28,Coendou prehensillis,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
29,Hydrochoeris hydrochaeris,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
30,Cuniculus paca,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
31,Dasyprocta fuliginosa,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
32,Tamandua tetradactyla,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
33,Dasypus novemcinctus Linnaeus,"Borges, L.H.M. & Calouro, A.M. et al. 2014 - Série Zoologia [online]",Parque Zoobotânico,Acre,Brazil,"9°57'26.2""S ","67°52'28.5""W",-9.957280,-67.874593,"Sim, o Parque Zoobotânico"
34,Didelphis albiventris,"Humberg, R.M. & Oshiro, E.T. et al. 2012 - Am J Trop Med Hyg",Cidade de Campo Grande,Mato Grosso do Sul,Brazil,"20°27'46.8""S ","54°36'43.2""W",-20.462991,"--54,611998",Não
35,Didelphis albiventris,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
36,Didelphis albiventris,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
37,Didelphis albiventris,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
38,Didelphis albiventris,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
39,Lutreolina crassicaudata,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º09’34.2”S , 52º06’00.3”W,-32.15950,-52.1001,Não
40,Lutreolina crassicaudata,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º10’45.0”S  , 52º08’42.4”W,-32.179167,-52.1451,Não
41,Lutreolina crassicaudata,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
42,Lutreolina crassicaudata,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
43,Lutreolina crassicaudata,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
44,Lutreolina crassicaudata,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
45,Dasypus hybridus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
46,Dasypus hybridus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
47,Dasypus novemcinctus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
48,Dasypus novemcinctus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
49,Dasypus novemcinctus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
50,Dasypus novemcinctus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
51,Euphractus sexcinctus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
52,Euphractus sexcinctus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
53,Lepus europaeus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º09’34.2”S , 52º06’00.3”W,-32.15950,-52.1001,Não
54,Lepus europaeus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º10’45.0”S  , 52º08’42.4”W,-32.179167,-52.1451,Não
55,Lepus europaeus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
56,Lepus europaeus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
57,Lepus europaeus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
58,Lepus europaeus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
59,Lycalopex gymnocercus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º09’34.2”S , 52º06’00.3”W,-32.15950,-52.1001,Não
60,Lycalopex gymnocercus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º10’45.0”S  , 52º08’42.4”W,-32.179167,-52.1451,Não
61,Lycalopex gymnocercus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
62,Lycalopex gymnocercus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
63,Lycalopex gymnocercus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
64,Lycalopex gymnocercus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
65,Procyon cancrivorus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
66,Procyon cancrivorus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
67,Lontra longicaudis,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
68,Lontra longicaudis,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
69,Lontra longicaudis,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
70,Lontra longicaudis,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
71,Galictis cuja,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
72,Galictis cuja,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
73,Conepatus chinga,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º09’34.2”S , 52º06’00.3”W,-32.15950,-52.1001,Não
74,Conepatus chinga,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º10’45.0”S  , 52º08’42.4”W,-32.179167,-52.1451,Não
75,Conepatus chinga,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º12’19.2”S    , 52º10’31.2”W,-32.205333,-52.1753,Não
76,Conepatus chinga,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área ao sul da Estação Marinha de Aquicultura da Universidade Federal do Rio Grande,Rio Grande do Sul,Brazil,32º14’0.98”S   ,52º12’51.4”W,-32.233606,-52.2143,Não
77,Conepatus chinga,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
78,Conepatus chinga,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
79,Leopardus geoffroyi,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
80,Leopardus geoffroyi,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
81,Hydrochaerus hydrochaeris,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
82,Hydrochaerus hydrochaeris,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
83,Myocastor coypus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º09’34.2”S , 52º06’00.3”W,-32.15950,-52.1001,Não
84,Myocastor coypus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área entre o canal da Lagoa dos Patos e o centro comercial,Rio Grande do Sul,Brazil,32º10’45.0”S  , 52º08’42.4”W,-32.179167,-52.1451,Não
85,Myocastor coypus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º15’59.5”S   , 52º14’29.0”W,-32.266528,-52.2414,Não
86,Myocastor coypus,"Oliveira, S.V. & Quintela, F.M. et al. 2013 - Acta Scientiarum. Biological Sciences",Área próxima ao córrego costeiro “Navio Altair”,Rio Grande do Sul,Brazil,32º18'0.65”S  ,52º16’0.57”W,-32.300181,-52.2668,Não
87,Myrmecophaga tridactyla,"Diniz, M.F. & Brito, D. 2013 - Zoologia (Curitiba) [online]",Parque Nacional de Brasília,Brasilia,Brazil,"15°44'20.8""S "," 47°55'34.5""W",-15.739119,-47.9263,"Sim, o Parque Nacional de Brasília "
88,Noctilio leporinus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
89,Phyllostomus hastatus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
90,Glossophaga soricina,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
91,Carollia perspicillata,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
92,Artibeus fimbriatus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
93,Artibeus planirostris,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
94,Artibeus obscurus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
95,Artibeus lituratus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
96,Chiroderma doriae,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
97,Chiroderma villosum,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
98,Sturnira lilium,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
99,Desmodus rotundus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
100,Platyrrhinus lineatus,"Esbérard, C.E.L & Luz, J.L. et al. 2014 - Série Zoologia [online]",Parque Municipal Quinta da Boa Vista,Rio de Janeiro,Brazil,"22°54'18.7""S ","43°13'18.5""W",-22.905189,-43.2218,"Sim, o Parque Municipal Quinta da Boa Vista"
