ID,Year,Latitude,Longitude,Estado,Pais,Author,Publicacao_selecionada,Especies,Interaction type,Interacted with,Family,Regnum,Species as published
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Phacellodomus rufifrons,Furnariidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Thamnophilus sticturus,Thamnophilidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Formicivora rufa,Thamnophilidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Formicivora melanogaster,Thamnophilidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Hemitriccus margaritaceiventer,Tyrannidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Myiarchus tyrannulus,Tyrannidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Paroaria capitata,Thraupidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Eucometis penicillata,Thraupidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Taraba major,Thamnophilidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Galbula ruficauda,Galbulidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Lepidocolaptes angustirostris,Furnariidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Dendrocolaptes platyrostris,Furnariidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Campylorhynchus turdinus,Troglodytidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Sporophila angolensis,Thraupidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Cacicus solitarius,Icteridae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Veniliornis passerinus,Picidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Thamnophilus doliatus,Thamnophilidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Coryphospingus cucullatus,Thraupidae,Animalia,Urosciurus spadiceus
182,2012,-19.38333333,-57.38333333,Mato Grosso do Sul,Brazil,Franchesco Della-Flora,DOI 10.1515/mammalia-2012-0068,Hadrosciurus spadiceus,participate in mixed bird flocks with,Icterus cayanensis,Icteridae,Animalia,Urosciurus spadiceus
190,2006,-23.71666667,-46.96666667,Ṣo Paulo,Brazil,M̫nica de Faria Franco Negṛo,Records of mammals of larger size in the Morro Grande Forest Reserve Sao Paulo. Biota Neotropica 6(2),Guerlinguetus brasiliensis,eat,Revena rubiginosa,Curculionidae,Animalia,Sciurus ingrami
194,2017,-23.004856,-46.963394,Ṣo Paulo,Brazil,Abrạo de Moraes,Collared forest-falcon (Micrastur semitorquatus) preying on a squirrel in a fragment of atlantic forest with a revision of the predation events for the species. Revista Brasileira de Ornitologia 25(4):248-253,Guerlinguetus brasiliensis,predated by,Micrastur semitorquatus,Falconidae,Animalia,Guerlinguetus ingrami
